               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081956,            0.017786,            0.011421,             0.49283,             0.26701,             0.15165,            0.079862,            0.060692,            0.016819,            0.010793,          0.00014993,          0.00014993,            0.025162
                   1,            0.068418,            0.014801,            0.009943,             0.53645,             0.29375,             0.19186,             0.10408,            0.057419,            0.016088,           0.0094873,          0.00029983,          0.00029983,          0.00031142
                   2,            0.064158,            0.014007,           0.0087363,             0.39522,             0.34584,              0.2319,             0.12839,            0.055531,            0.015692,           0.0085704,          0.00029959,          0.00029959,          0.00029959
                   3,            0.061322,            0.013805,           0.0080513,              0.4472,             0.33118,               0.277,             0.15777,            0.053287,            0.015252,           0.0080343,          0.00029959,          0.00029959,          0.00029959
                   4,            0.060012,            0.013393,           0.0076425,             0.51543,             0.32982,             0.30905,             0.18391,             0.05194,             0.01494,           0.0073488,          0.00029909,          0.00029909,          0.00029909
                   5,            0.059019,            0.013355,           0.0073078,             0.56176,             0.34742,             0.34597,             0.20675,            0.051306,            0.014988,           0.0071258,          0.00029837,          0.00029837,          0.00029837
                   6,            0.058107,            0.013002,           0.0070202,             0.52083,             0.36759,             0.36686,             0.22334,            0.050711,            0.014773,           0.0067977,          0.00029746,          0.00029746,          0.00029746
                   7,            0.057299,            0.012791,            0.006766,             0.52282,             0.38422,                0.39,             0.23888,            0.049963,             0.01458,           0.0065573,          0.00029635,          0.00029635,          0.00029635
                   8,            0.056635,            0.012864,           0.0065842,             0.42797,             0.44797,             0.41667,             0.25773,            0.049691,            0.014437,           0.0063435,          0.00029504,          0.00029504,          0.00029504
                   9,            0.056756,            0.012851,           0.0064136,             0.47767,             0.42417,              0.4388,             0.27109,            0.049943,            0.014534,           0.0062103,          0.00029354,          0.00029354,          0.00029354
                  10,            0.056342,            0.012734,           0.0062842,             0.46286,             0.46627,             0.45094,             0.28361,            0.049248,            0.014239,           0.0061064,          0.00029184,          0.00029184,          0.00029184
                  11,             0.05586,            0.012662,           0.0061324,              0.4814,             0.44127,              0.4538,             0.28527,            0.049098,            0.014321,           0.0060434,          0.00028995,          0.00028995,          0.00028995
                  12,            0.055381,             0.01248,           0.0059821,             0.47117,              0.4973,             0.47447,             0.29872,            0.048816,            0.014175,           0.0058579,          0.00028787,          0.00028787,          0.00028787
                  13,            0.055275,             0.01254,           0.0058816,              0.4958,             0.48463,             0.47802,             0.30267,            0.048401,             0.01419,           0.0057982,          0.00028561,          0.00028561,          0.00028561
                  14,             0.05494,             0.01244,           0.0058163,             0.51002,             0.49626,             0.49305,             0.30724,            0.048721,            0.014203,           0.0057366,          0.00028317,          0.00028317,          0.00028317
                  15,            0.054807,            0.012462,           0.0057157,             0.55162,             0.48196,             0.49827,             0.31225,            0.048281,            0.014132,           0.0056693,          0.00028055,          0.00028055,          0.00028055
                  16,            0.054505,            0.012324,           0.0056709,             0.52526,             0.50582,             0.50996,               0.321,            0.048049,            0.014086,           0.0055333,          0.00027775,          0.00027775,          0.00027775
                  17,            0.054276,            0.012509,           0.0055365,             0.53693,             0.50994,             0.51546,             0.32655,            0.047967,            0.014033,           0.0055281,          0.00027479,          0.00027479,          0.00027479
                  18,            0.053932,            0.012174,           0.0055218,             0.53347,             0.51915,             0.52018,             0.32932,            0.047636,            0.014016,           0.0053932,          0.00027166,          0.00027166,          0.00027166
                  19,            0.053693,            0.012083,           0.0054342,              0.5692,              0.5021,             0.52469,             0.33116,             0.04771,            0.014024,           0.0053435,          0.00026837,          0.00026837,          0.00026837
                  20,            0.053808,            0.012286,           0.0054474,             0.55566,             0.52012,             0.53105,             0.33375,            0.047816,            0.013973,           0.0052943,          0.00026493,          0.00026493,          0.00026493
                  21,            0.053393,            0.012125,           0.0053749,              0.5347,             0.53096,             0.52644,             0.33339,            0.047541,            0.013918,           0.0052393,          0.00026134,          0.00026134,          0.00026134
                  22,            0.053556,            0.012138,           0.0053515,             0.53149,             0.53302,             0.53039,             0.33655,            0.047282,            0.013886,           0.0052357,           0.0002576,           0.0002576,           0.0002576
                  23,            0.053214,            0.012198,           0.0052594,             0.55265,              0.5228,             0.53569,             0.33743,            0.047144,            0.013869,           0.0052018,          0.00025373,          0.00025373,          0.00025373
                  24,            0.052906,            0.011972,           0.0052051,             0.55382,             0.52931,             0.53431,             0.33839,            0.047117,            0.013855,            0.005146,          0.00024972,          0.00024972,          0.00024972
                  25,            0.053327,            0.012212,           0.0052149,             0.55771,             0.53477,             0.54253,              0.3437,            0.047062,            0.013808,           0.0051208,          0.00024559,          0.00024559,          0.00024559
