               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082712,            0.027084,            0.011055,             0.42703,             0.26356,             0.14742,            0.074242,            0.064048,            0.025786,            0.010254,          0.00014993,          0.00014993,            0.025162
                   1,            0.071676,            0.022372,           0.0096811,             0.38109,             0.29823,             0.17907,            0.091086,            0.060789,            0.023729,           0.0092723,          0.00029983,          0.00029983,          0.00031142
                   2,             0.06798,             0.02081,            0.008939,             0.34872,             0.34693,             0.26193,              0.1449,            0.057342,            0.021887,           0.0084515,          0.00029959,          0.00029959,          0.00029959
                   3,            0.065759,            0.020511,            0.008263,             0.47059,             0.31493,             0.28997,             0.16236,            0.055801,            0.021049,            0.007814,          0.00029959,          0.00029959,          0.00029959
                   4,            0.064797,            0.019916,           0.0078435,             0.40796,             0.33886,             0.31161,             0.17463,            0.055466,            0.020715,           0.0073609,          0.00029909,          0.00029909,          0.00029909
                   5,            0.063581,            0.019428,           0.0074526,             0.38915,             0.37268,             0.33471,             0.19237,            0.054736,            0.020176,            0.006958,          0.00029837,          0.00029837,          0.00029837
                   6,            0.062878,            0.018968,           0.0072445,             0.42098,             0.37529,             0.34885,             0.20474,            0.054237,            0.020083,           0.0068402,          0.00029746,          0.00029746,          0.00029746
                   7,            0.062542,            0.019059,           0.0070434,             0.46188,              0.3707,             0.36411,             0.21622,            0.053956,            0.019801,           0.0066927,          0.00029635,          0.00029635,          0.00029635
                   8,            0.062127,            0.018608,           0.0069281,               0.466,             0.37677,             0.37011,             0.22023,            0.054159,            0.019954,           0.0065425,          0.00029504,          0.00029504,          0.00029504
                   9,            0.061462,            0.018395,           0.0067416,             0.47541,             0.39894,             0.38958,             0.23324,            0.053293,            0.019664,            0.006341,          0.00029354,          0.00029354,          0.00029354
                  10,            0.061203,            0.018313,           0.0066099,             0.49018,             0.40038,             0.40186,             0.24101,            0.053261,            0.019487,           0.0062793,          0.00029184,          0.00029184,          0.00029184
                  11,            0.061103,            0.018282,           0.0064544,             0.49182,              0.4091,             0.41579,             0.25159,            0.052798,             0.01935,           0.0061262,          0.00028995,          0.00028995,          0.00028995
                  12,            0.060435,            0.017994,           0.0063518,             0.49935,             0.42596,             0.42848,             0.26055,            0.052644,            0.019344,             0.00599,          0.00028787,          0.00028787,          0.00028787
                  13,             0.06064,            0.018233,           0.0063117,             0.47319,             0.44164,             0.43033,             0.26246,             0.05259,            0.019171,           0.0058945,          0.00028561,          0.00028561,          0.00028561
                  14,            0.060384,            0.018063,           0.0062105,             0.50326,             0.43281,              0.4402,             0.27156,            0.052157,            0.019112,           0.0058623,          0.00028317,          0.00028317,          0.00028317
                  15,            0.060003,            0.017873,           0.0060802,             0.50545,             0.44501,             0.44649,             0.27547,            0.052098,            0.019153,           0.0057673,          0.00028055,          0.00028055,          0.00028055
                  16,            0.059695,            0.017658,           0.0060028,             0.51855,             0.44612,             0.45514,             0.28058,            0.051835,            0.018974,           0.0057364,          0.00027775,          0.00027775,          0.00027775
                  17,            0.059605,            0.017758,           0.0059253,             0.51329,             0.45607,             0.46424,             0.28618,            0.051817,            0.018932,           0.0056698,          0.00027479,          0.00027479,          0.00027479
                  18,            0.059342,            0.017577,           0.0058547,             0.51636,             0.45847,             0.46428,             0.28736,            0.051714,            0.018888,            0.005653,          0.00027166,          0.00027166,          0.00027166
