               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095713,            0.054614,            0.010818,             0.63144,             0.27453,             0.18764,            0.094882,            0.077358,             0.05817,           0.0097942,          0.00014993,          0.00014993,            0.025162
                   1,             0.08596,            0.051261,            0.009205,             0.65485,             0.27179,             0.23439,             0.11404,            0.075797,            0.058291,            0.008849,          0.00029983,          0.00029983,          0.00031142
                   2,            0.081449,            0.049247,            0.008374,             0.47212,             0.34172,             0.28417,               0.154,             0.06959,            0.055443,           0.0079454,          0.00029959,          0.00029959,          0.00029959
                   3,            0.078238,            0.048051,           0.0078016,             0.51428,             0.35736,             0.31855,              0.1777,            0.069224,            0.054858,           0.0074686,          0.00029959,          0.00029959,          0.00029959
                   4,            0.076821,            0.047256,           0.0073837,             0.54187,             0.36945,             0.33623,             0.19177,            0.067422,            0.054138,           0.0072178,          0.00029909,          0.00029909,          0.00029909
                   5,            0.075022,            0.045823,           0.0071314,             0.53723,             0.40889,             0.35332,             0.20482,            0.066652,            0.053611,           0.0071432,          0.00029837,          0.00029837,          0.00029837
                   6,            0.074958,            0.046345,           0.0069676,             0.57557,             0.38978,             0.38471,             0.22695,            0.065892,            0.053178,           0.0068319,          0.00029746,          0.00029746,          0.00029746
                   7,            0.073858,            0.045687,           0.0068047,             0.61131,             0.39742,              0.4017,             0.23975,            0.065481,            0.053119,           0.0068183,          0.00029635,          0.00029635,          0.00029635
                   8,            0.073485,            0.046052,            0.006683,             0.43016,             0.48835,             0.43486,             0.26178,            0.065044,            0.052803,           0.0065576,          0.00029504,          0.00029504,          0.00029504
                   9,            0.073069,            0.044932,           0.0065546,             0.45672,             0.47092,              0.4343,             0.26106,             0.06496,            0.052801,            0.006505,          0.00029354,          0.00029354,          0.00029354
                  10,            0.072513,            0.044297,           0.0063954,             0.48848,             0.48866,             0.46103,             0.28261,             0.06451,            0.052494,           0.0063551,          0.00029184,          0.00029184,          0.00029184
                  11,            0.072294,            0.044638,           0.0063321,                0.49,             0.50008,             0.47266,             0.28709,            0.064668,            0.052679,           0.0062449,          0.00028995,          0.00028995,          0.00028995
                  12,            0.072313,            0.044539,           0.0062061,             0.50552,             0.49966,             0.48571,             0.29704,            0.064258,            0.052386,           0.0061607,          0.00028787,          0.00028787,          0.00028787
                  13,            0.071699,            0.044623,           0.0061395,             0.50088,             0.51294,             0.49371,             0.30153,            0.063881,            0.052043,           0.0061202,          0.00028561,          0.00028561,          0.00028561
                  14,            0.071417,            0.043705,           0.0060582,              0.5491,             0.48533,             0.49785,             0.30891,            0.063558,            0.052019,           0.0061177,          0.00028317,          0.00028317,          0.00028317
                  15,             0.07104,            0.044263,           0.0059646,             0.54332,             0.50738,             0.50883,             0.31413,            0.063564,            0.051963,           0.0059952,          0.00028055,          0.00028055,          0.00028055
                  16,            0.070637,            0.043557,           0.0059117,             0.55607,              0.5031,             0.51393,             0.31731,            0.063463,            0.051988,           0.0059418,          0.00027775,          0.00027775,          0.00027775
                  17,            0.070784,            0.044368,           0.0058664,             0.53182,             0.52558,             0.51856,             0.32371,            0.063163,            0.051632,           0.0059349,          0.00027479,          0.00027479,          0.00027479
                  18,            0.070792,            0.043718,           0.0057864,             0.52892,              0.5223,             0.51631,             0.32128,            0.063186,            0.051835,           0.0059465,          0.00027166,          0.00027166,          0.00027166
                  19,            0.070171,            0.043237,           0.0056946,              0.5379,             0.53346,             0.52921,             0.33166,            0.062863,            0.051769,           0.0057742,          0.00026837,          0.00026837,          0.00026837
                  20,            0.069966,            0.043742,           0.0057041,             0.55534,             0.52101,             0.53295,             0.33064,             0.06276,            0.051594,           0.0057206,          0.00026493,          0.00026493,          0.00026493
                  21,            0.069846,            0.043269,           0.0055877,             0.58727,             0.51079,             0.53811,             0.33565,            0.062679,            0.051523,           0.0057008,          0.00026134,          0.00026134,          0.00026134
                  22,             0.06974,            0.043182,           0.0056262,             0.58736,             0.51329,             0.53512,             0.33498,            0.062454,            0.051583,           0.0056713,           0.0002576,           0.0002576,           0.0002576
                  23,            0.069562,            0.042478,             0.00552,             0.57375,             0.53551,             0.53965,             0.33549,            0.062537,             0.05144,           0.0056769,          0.00025373,          0.00025373,          0.00025373
                  24,            0.069201,            0.042575,           0.0055097,             0.57589,             0.53719,             0.54527,             0.34175,            0.062272,            0.051262,           0.0056198,          0.00024972,          0.00024972,          0.00024972
                  25,            0.069512,            0.043313,           0.0054924,             0.56458,             0.53782,             0.54549,             0.34393,             0.06235,            0.051324,           0.0056362,          0.00024559,          0.00024559,          0.00024559
                  26,            0.068942,            0.042976,           0.0054317,             0.59994,             0.52494,             0.54966,             0.34359,            0.062322,            0.051346,           0.0055318,          0.00024134,          0.00024134,          0.00024134
                  27,            0.069342,            0.043068,            0.005411,             0.57193,             0.54564,             0.54901,             0.34425,            0.062058,            0.051305,            0.005539,          0.00023697,          0.00023697,          0.00023697
                  28,            0.068765,            0.042611,           0.0053592,             0.56982,             0.53653,             0.55081,             0.34615,             0.06208,            0.051241,           0.0055505,           0.0002325,           0.0002325,           0.0002325
