               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076561,            0.017372,             0.01121,             0.60851,             0.24565,             0.15751,            0.085335,            0.059733,            0.017566,            0.010305,          0.00014998,          0.00014998,            0.025154
                   1,            0.067892,            0.015319,           0.0096008,             0.35875,             0.32877,             0.19994,             0.11065,            0.058205,            0.016841,           0.0089736,          0.00029352,          0.00029352,          0.00029738
                   2,            0.063948,             0.01492,           0.0085276,             0.47741,              0.3242,             0.26596,              0.1534,            0.054676,            0.016308,           0.0081951,          0.00027479,          0.00027479,          0.00027479
                   3,             0.06131,            0.014505,           0.0078827,             0.41126,             0.33564,             0.30149,             0.17739,            0.053355,            0.016015,           0.0075308,          0.00027479,          0.00027479,          0.00027479
                   4,            0.059356,            0.014107,           0.0074573,             0.52643,             0.35858,             0.32068,             0.19164,            0.052326,            0.015607,             0.00723,          0.00024559,          0.00024559,          0.00024559
                   5,            0.057955,            0.013786,            0.007121,             0.49951,             0.35652,             0.34725,              0.2118,            0.051702,            0.015577,            0.006879,          0.00020879,          0.00020879,          0.00020879
                   6,            0.056794,            0.013633,           0.0068769,             0.53491,             0.36093,             0.37052,             0.22665,            0.051098,            0.015347,           0.0066795,            0.000168,            0.000168,            0.000168
                   7,            0.056008,            0.013445,           0.0067062,             0.52493,             0.41054,             0.39007,             0.24213,            0.050346,            0.015222,           0.0065065,          0.00012721,          0.00012721,          0.00012721
                   8,            0.054605,            0.012969,           0.0064207,             0.51204,             0.43063,             0.39993,              0.2491,            0.050002,            0.015131,           0.0064396,          9.0412e-05,          9.0412e-05,          9.0412e-05
                   9,             0.05441,            0.013301,           0.0063848,             0.52554,             0.43222,             0.41252,              0.2587,            0.049601,             0.01501,           0.0062715,           6.121e-05,           6.121e-05,           6.121e-05
