               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078048,            0.016971,             0.01123,             0.50777,              0.2778,             0.16067,            0.088071,            0.059944,             0.01721,            0.010449,          0.00014993,          0.00014993,            0.025162
                   1,             0.06856,            0.015105,           0.0095519,             0.38573,             0.32588,             0.21395,             0.12309,            0.056847,            0.016663,           0.0089091,          0.00029347,          0.00029347,          0.00030506
                   2,            0.064618,            0.014337,           0.0082653,             0.47577,             0.33579,             0.28182,             0.16509,            0.054929,            0.015967,           0.0078927,          0.00027479,          0.00027479,          0.00027479
                   3,            0.061922,            0.013873,           0.0076545,             0.45399,              0.3715,             0.32257,             0.19199,              0.0533,            0.015729,           0.0072682,          0.00027479,          0.00027479,          0.00027479
                   4,            0.060269,            0.013514,           0.0072025,             0.54413,             0.37258,             0.34706,             0.20816,            0.052753,            0.015508,           0.0069256,          0.00024559,          0.00024559,          0.00024559
                   5,            0.058995,            0.013542,           0.0069241,             0.39865,             0.41093,             0.37935,             0.23205,             0.05195,            0.015277,           0.0066366,          0.00020879,          0.00020879,          0.00020879
                   6,            0.057705,            0.013195,           0.0066726,             0.46644,             0.40429,             0.40647,             0.25095,            0.051008,            0.015172,           0.0064104,            0.000168,            0.000168,            0.000168
                   7,            0.056652,            0.012909,           0.0063905,             0.46595,              0.4383,             0.42897,             0.26817,            0.050379,            0.014956,           0.0062489,          0.00012721,          0.00012721,          0.00012721
                   8,            0.055805,            0.013028,           0.0061845,             0.46393,             0.46382,             0.44377,             0.27734,            0.050186,            0.014904,           0.0061317,          9.0412e-05,          9.0412e-05,          9.0412e-05
                   9,            0.055125,            0.012641,           0.0060805,              0.5152,              0.4474,             0.45958,             0.28932,            0.049591,            0.014763,           0.0060304,           6.121e-05,           6.121e-05,           6.121e-05
