               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078004,            0.017525,             0.01127,             0.92714,             0.12098,             0.15761,            0.086589,             0.05983,            0.017704,            0.010396,          0.00014995,          0.00014995,            0.025158
                   1,            0.069025,            0.015406,           0.0095363,             0.54675,             0.27811,             0.20432,             0.11396,             0.05792,             0.01668,           0.0089602,          0.00029985,          0.00029985,          0.00030758
                   2,            0.064887,            0.014552,           0.0084643,             0.48727,             0.32204,             0.27815,             0.16259,            0.055008,            0.016047,           0.0079707,          0.00029959,          0.00029959,          0.00029959
                   3,            0.062236,            0.014281,           0.0078059,             0.48759,             0.36828,             0.30567,             0.17817,            0.053794,            0.015863,           0.0073426,          0.00029959,          0.00029959,          0.00029959
                   4,            0.060745,             0.01384,           0.0073948,             0.42397,             0.36735,              0.3337,             0.20035,            0.052833,            0.015613,           0.0070605,          0.00029909,          0.00029909,          0.00029909
                   5,            0.059487,            0.013588,           0.0070581,             0.49458,             0.39373,              0.3663,             0.22259,            0.052303,             0.01549,           0.0067014,          0.00029837,          0.00029837,          0.00029837
                   6,            0.058832,            0.013536,           0.0068512,             0.44435,             0.41952,             0.39011,             0.23798,            0.051854,            0.015286,           0.0065114,          0.00029746,          0.00029746,          0.00029746
                   7,             0.05864,            0.013569,           0.0066415,             0.44388,             0.45098,             0.41213,             0.25177,            0.051515,            0.015291,           0.0063271,          0.00029635,          0.00029635,          0.00029635
                   8,            0.057773,            0.013313,           0.0064406,             0.47792,             0.42526,             0.42983,             0.26532,            0.051051,            0.015129,           0.0061345,          0.00029504,          0.00029504,          0.00029504
                   9,            0.057439,            0.013481,           0.0063276,             0.47258,             0.45724,             0.44875,             0.27843,            0.050731,            0.015042,           0.0060096,          0.00029354,          0.00029354,          0.00029354
                  10,            0.057107,            0.013093,           0.0061561,             0.53292,             0.44389,             0.46037,             0.28817,            0.050318,            0.014981,           0.0059324,          0.00029184,          0.00029184,          0.00029184
                  11,            0.056565,            0.012986,           0.0060173,             0.55228,             0.44788,             0.47657,             0.29829,              0.0501,            0.014962,           0.0057599,          0.00028995,          0.00028995,          0.00028995
                  12,            0.056663,            0.013166,           0.0059671,             0.50723,             0.48547,             0.48164,             0.30263,            0.050011,            0.014903,           0.0057238,          0.00028787,          0.00028787,          0.00028787
                  13,            0.056112,            0.013039,           0.0058581,             0.55379,             0.45003,             0.48345,             0.30313,            0.050017,            0.014788,           0.0057641,          0.00028561,          0.00028561,          0.00028561
                  14,            0.055807,            0.012863,           0.0057739,             0.55175,             0.46936,             0.49123,             0.31075,            0.049946,            0.014853,           0.0057181,          0.00028317,          0.00028317,          0.00028317
                  15,            0.055942,            0.012809,            0.005711,             0.53259,             0.49467,             0.49945,             0.31514,            0.049614,            0.014775,            0.005581,          0.00028055,          0.00028055,          0.00028055
                  16,            0.055356,            0.012802,           0.0056176,             0.52068,             0.50814,             0.50682,             0.31826,            0.049256,            0.014695,           0.0055058,          0.00027775,          0.00027775,          0.00027775
                  17,            0.055407,            0.012833,           0.0055888,             0.54873,             0.49927,             0.50781,             0.32299,            0.049207,            0.014655,            0.005449,          0.00027479,          0.00027479,          0.00027479
                  18,            0.054986,            0.012779,           0.0055436,             0.52754,             0.52619,             0.51558,             0.32594,            0.048983,            0.014604,           0.0054056,          0.00027166,          0.00027166,          0.00027166
                  19,            0.055052,            0.012749,           0.0054997,             0.53716,              0.5189,             0.51282,             0.32297,            0.049198,            0.014638,           0.0053412,          0.00026837,          0.00026837,          0.00026837
