               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088606,            0.054635,            0.010981,             0.52759,             0.29038,             0.19314,             0.10488,             0.07166,            0.058258,            0.009776,          0.00014993,          0.00014993,            0.025162
                   1,            0.081419,            0.050399,           0.0089696,             0.44703,             0.35628,             0.26422,             0.14279,            0.069654,            0.055762,           0.0083723,          0.00029347,          0.00029347,          0.00030506
                   2,            0.077727,            0.048905,           0.0080173,               0.513,             0.40644,             0.32966,             0.19285,            0.066833,            0.054537,           0.0075588,          0.00027479,          0.00027479,          0.00027479
                   3,            0.075248,            0.046968,           0.0074534,             0.54026,             0.38895,             0.34797,             0.20747,            0.065274,            0.053516,           0.0072446,          0.00027479,          0.00027479,          0.00027479
                   4,             0.07323,            0.045751,           0.0071246,             0.51248,             0.42298,             0.38168,             0.23141,            0.064536,            0.053229,            0.006945,          0.00024559,          0.00024559,          0.00024559
                   5,            0.072363,             0.04516,            0.006904,             0.38962,             0.49736,             0.41369,             0.25618,            0.063962,            0.052285,           0.0067285,          0.00020879,          0.00020879,          0.00020879
                   6,            0.071164,            0.044962,           0.0066276,             0.44717,             0.48665,             0.44164,             0.27316,            0.063501,            0.052184,           0.0065027,            0.000168,            0.000168,            0.000168
                   7,            0.070513,             0.04449,           0.0064357,             0.48423,             0.48659,             0.46208,             0.29186,            0.062847,            0.051522,           0.0063494,          0.00012721,          0.00012721,          0.00012721
                   8,            0.069798,            0.043697,           0.0062911,             0.51009,             0.49241,             0.48647,             0.30803,            0.062632,            0.051463,           0.0062415,          9.0412e-05,          9.0412e-05,          9.0412e-05
                   9,            0.069007,            0.042611,            0.006124,             0.53507,             0.48888,              0.4986,             0.31637,            0.062328,            0.051344,           0.0061569,           6.121e-05,           6.121e-05,           6.121e-05
