               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081278,            0.017573,            0.011405,             0.49719,             0.27899,             0.15336,            0.077006,             0.06171,            0.016804,            0.010682,          0.00014993,          0.00014993,            0.025162
                   1,            0.068546,            0.014799,           0.0097629,             0.43833,             0.30798,             0.19564,             0.10338,            0.059908,            0.016699,            0.009178,          0.00029347,          0.00029347,          0.00030506
                   2,             0.06369,            0.013964,           0.0086607,             0.41294,             0.32509,             0.23435,             0.13006,            0.055114,            0.015592,           0.0084283,          0.00027479,          0.00027479,          0.00027479
                   3,            0.060973,            0.013757,            0.008003,             0.44647,             0.34911,             0.27669,             0.15891,            0.052961,            0.015407,            0.008156,          0.00027479,          0.00027479,          0.00027479
                   4,            0.059222,            0.013295,           0.0076192,             0.49806,             0.35432,              0.3105,             0.18518,             0.05126,            0.014826,            0.007405,          0.00024559,          0.00024559,          0.00024559
                   5,            0.057929,            0.013166,           0.0072764,             0.45943,             0.38236,             0.34024,             0.20282,            0.050867,            0.014803,             0.00715,          0.00020879,          0.00020879,          0.00020879
                   6,            0.056638,            0.012746,           0.0069762,             0.48824,             0.38056,             0.35914,             0.21942,            0.050184,            0.014588,           0.0068559,            0.000168,            0.000168,            0.000168
                   7,            0.055452,            0.012482,           0.0067283,             0.49882,             0.41227,             0.38345,             0.23536,            0.049645,            0.014392,           0.0066685,          0.00012721,          0.00012721,          0.00012721
                   8,             0.05452,            0.012479,           0.0065423,             0.43685,             0.41149,             0.40705,             0.25388,            0.048876,            0.014219,           0.0064655,          9.0412e-05,          9.0412e-05,          9.0412e-05
                   9,            0.054233,            0.012396,            0.006411,             0.42566,             0.44989,             0.41807,             0.26305,            0.048593,            0.014173,           0.0063749,           6.121e-05,           6.121e-05,           6.121e-05
