epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9615,1.51581,1.22013,1.2274,0.76504,0.66458,0.75655,0.45157,1.34037,0.99989,1.15499,0.000665936,0.000665936,0.000665936
2,179.735,1.41535,1.02247,1.19641,0.78922,0.68749,0.78029,0.48379,1.29726,0.9123,1.16065,0.00130622,0.00130622,0.00130622
3,265.427,1.39308,0.98633,1.1929,0.78901,0.68525,0.78234,0.48961,1.28204,0.91532,1.139,0.0019201,0.0019201,0.0019201
4,352.623,1.37418,0.95874,1.18805,0.79576,0.6949,0.79029,0.49803,1.27894,0.86994,1.14777,0.0018812,0.0018812,0.0018812
5,441.496,1.35071,0.93062,1.17664,0.81703,0.7043,0.81086,0.51193,1.24303,0.84695,1.13265,0.0018416,0.0018416,0.0018416
6,531.663,1.33833,0.9109,1.1671,0.80915,0.7103,0.80672,0.51371,1.23462,0.82885,1.12758,0.001802,0.001802,0.001802
7,621.757,1.31613,0.88977,1.15954,0.80895,0.70987,0.80891,0.51617,1.22767,0.84223,1.12787,0.0017624,0.0017624,0.0017624
8,712.242,1.31198,0.8847,1.15555,0.81042,0.70739,0.81222,0.52323,1.21861,0.82078,1.12035,0.0017228,0.0017228,0.0017228
9,803.303,1.30905,0.87212,1.15196,0.80659,0.72471,0.82204,0.53199,1.1956,0.79962,1.11448,0.0016832,0.0016832,0.0016832
10,893.959,1.28711,0.85336,1.14485,0.81811,0.72509,0.8248,0.5332,1.20395,0.78439,1.11333,0.0016436,0.0016436,0.0016436
11,985.277,1.2764,0.84665,1.14001,0.80979,0.73954,0.82738,0.53253,1.20934,0.78088,1.10913,0.001604,0.001604,0.001604
12,1076.6,1.27522,0.83808,1.13723,0.8223,0.71964,0.82467,0.53614,1.20317,0.78358,1.11307,0.0015644,0.0015644,0.0015644
13,1168.07,1.27206,0.83514,1.13306,0.81786,0.72638,0.82637,0.53911,1.18329,0.77038,1.10692,0.0015248,0.0015248,0.0015248
