epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1331.92,1.02995,0.41653,0.94883,0.89899,0.60931,0.67423,0.36019,2.11993,1.82114,1.00402,0.00333272,0.00333272,0.00333272
2,2662.52,1.12561,0.46973,0.97632,0.90576,0.6229,0.68156,0.37257,2.07771,1.73195,0.98796,0.00663305,0.00663305,0.00663305
3,3982.24,1.2459,0.54788,1.01453,0.89037,0.63933,0.69076,0.37901,2.03381,1.80489,0.97227,0.00990039,0.00990039,0.00990039
4,5299.61,1.31283,0.5914,1.03759,0.90349,0.64914,0.69894,0.382,2.02446,1.64344,0.97185,0.0098515,0.0098515,0.0098515
5,6614.5,1.29058,0.57317,1.02939,0.90599,0.64553,0.69634,0.38244,2.02531,1.63558,0.96948,0.009802,0.009802,0.009802
6,7930.64,1.2739,0.56245,1.02284,0.90966,0.64758,0.6964,0.38307,2.01953,1.67363,0.96716,0.0097525,0.0097525,0.0097525
7,9243.58,1.26616,0.55601,1.02137,0.91039,0.64621,0.69578,0.38358,2.02297,1.67448,0.96691,0.009703,0.009703,0.009703
8,10557.1,1.25981,0.55155,1.01882,0.90293,0.64663,0.69458,0.38329,2.0293,1.66482,0.96865,0.0096535,0.0096535,0.0096535
9,11868.3,1.25616,0.54988,1.01836,0.90044,0.64553,0.69342,0.38353,2.035,1.66765,0.96984,0.009604,0.009604,0.009604
10,13178.1,1.25489,0.54711,1.01769,0.89809,0.64553,0.69285,0.38328,2.03708,1.66651,0.9708,0.0095545,0.0095545,0.0095545
11,14486.9,1.24987,0.54524,1.01731,0.89662,0.64444,0.69199,0.38331,2.04102,1.64995,0.97186,0.009505,0.009505,0.009505
12,15796.2,1.25107,0.54432,1.01642,0.89689,0.64511,0.6927,0.38312,2.0376,1.64663,0.97077,0.0094555,0.0094555,0.0094555
13,17104.4,1.24724,0.54433,1.01572,0.89765,0.64356,0.69431,0.38372,2.02701,1.63379,0.96846,0.009406,0.009406,0.009406
14,18412.2,1.2454,0.54369,1.01307,0.89811,0.64301,0.69401,0.38284,2.02569,1.62417,0.96875,0.0093565,0.0093565,0.0093565
